path,page_type,group,sources,gsc_status,gsc_last_crawled,has_rankmath_redirect,rankmath_type,rankmath_dest,is_thirstyaffiliate,ta_name,ta_dest_url,exists_on_new_site,new_site_path,notes,redirect_status
/recommends/kqi300x,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,NIU KQi 300X,https://shop.niu.com/products/niu-kqi-300x-electric-scooter?ref=eridehero,no,,,mapped
/recommends/kqi3max,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,NIU KQi3 Max,https://shop.niu.com/collections/electric-scooter/products/niu-kqi3-max-electric-kick-scooter-for-adults?ref=eridehero,no,,,mapped
/recommends/kqi3max-2,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,NIU KQi3 Max short,http://eridehero.com/products/niu-kqi3-max/,no,,,mapped
/recommends/kqi3pro,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,NIU KQi3 Pro,https://shop.niu.com/products/niu-electric-kick-scooter-for-adults-kqi3-pro?ref=eridehero,no,,,mapped
/recommends/kqiair,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,NIU KQi Air,https://shop.niu.com/products/niu-kqi-air-lightest-electric-scooter?ref=eridehero,no,,,mapped
/recommends/kukirin-g4,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Kukirin G4,https://amzn.to/46hFuUt,no,,,mapped
/recommends/lycaon-gr-2021,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Lycaon GR 2021,https://www.lycaonboard.com/products/lycaon-gr,no,,,mapped
/recommends/max4pro,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Maxfind Max4 Pro,https://www.maxfindboards.com/products/electric-skateboard-max4-pro?sca_ref=193324.BcvErmxPy7,no,,,mapped
/recommends/maxg2,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Segway Max G2,https://www.amazon.com/dp/B0C65CMKTK?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.270I59WTKJ959&linkCode=tr1&tag=haxho-20&linkId=amzn1.campaign.270I59WTKJ959_1727166048288,no,,,mapped
/recommends/maxg30,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Segway Max G30P,http://eridehero.com/products/segway-ninebot-max/,no,,,mapped
/recommends/navee-gt3,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Navee GT3,https://naveetechscooter.pxf.io/6yNdgr,no,,,mapped
/recommends/navee-gt3-max,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Navee GT3 Max,https://naveetechscooter.pxf.io/zxVb2M,no,,,mapped
/recommends/navee-gt3-pro,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Navee GT3 Pro,https://naveetechscooter.pxf.io/qzjx2y,no,,,mapped
/recommends/navee-st3-pro,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Navee ST3 Pro YouTube,https://naveetechscooter.pxf.io/c/3099931/2964970/33679?subId1=youtube,no,,,mapped
/recommends/ninebot-max-g3,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Segway Ninebot Max G3,http://eridehero.com/products/segway-ninebot-max-g3/,no,,,mapped
/recommends/niu-kqi-100f,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,NIU KQi 100F,https://shop.niu.com/products/niu-kqi-100f-electric-scooter?ref=eridehero,no,,,mapped
