id,source,matching,destination,type,category,status,ignore
"59","review/gotrax-hoverfly-e3-hoverboard","exact","http://eridehero.com/gotrax-hoverfly-e3-hoverboard-review/","301","","active",""
"62","review/hover-1-titan-hoverboard-review","exact","http://eridehero.com/hover-1-titan-hoverboard-review/","301","","active",""
"65","backfire-g2t-electric-skateboard","exact","http://eridehero.com/backfire-g2t-electric-skateboard-review/","301","","active",""
"65","review/backfire-g2t-electric-skateboard","exact","http://eridehero.com/backfire-g2t-electric-skateboard-review/","301","","active",""
"68","blog/electric-scooter-tires","exact","http://eridehero.com/electric-scooter-tires/","301","","active",""
"69","blog/hoverboard-recalls","exact","http://eridehero.com/hoverboard-recalls/","301","","active",""
"70","blog/how-to-customize-a-hoverboard","exact","http://eridehero.com/how-to-customize-a-hoverboard/","301","","active",""
"71","blog/electric-scooter-weight-limit","exact","http://eridehero.com/electric-scooter-weight-limit/","301","","active",""
"72","blog/are-hoverboards-banned-in-the-uk","exact","http://eridehero.com/are-hoverboards-banned-in-the-uk/","301","","active",""
"73","blog/how-does-a-hoverboard-work","exact","http://eridehero.com/how-does-a-hoverboard-work/","301","","active",""
"74","blog/electric-scooter-helmet-selection-guide","exact","http://eridehero.com/electric-scooter-helmet-selection-guide/","301","","active",""
"75","blog/electric-scooter-e-bike-laws-canada","exact","http://eridehero.com/electric-scooter-e-bike-laws-canada/","301","","active",""
"76","blog/best-electric-scooter-accessories","exact","http://eridehero.com/best-electric-scooter-accessories/","301","","active",""
"77","blog/electric-scooter-black-friday","exact","http://eridehero.com/electric-scooter-black-friday/","301","","active",""
"78","blog/how-far-can-hoverboards-go","exact","http://eridehero.com/how-far-can-hoverboards-go/","301","","active",""
"79","blog/how-to-ride-an-electric-scooter","exact","http://eridehero.com/how-to-ride-an-electric-scooter/","301","","active",""
"80","blog/calibrate-reset-hoverboard","exact","http://eridehero.com/calibrate-reset-hoverboard/","301","","active",""
"81","blog/what-scooters-do-bird-lime-use","exact","http://eridehero.com/what-scooters-do-bird-lime-use/","301","","active",""
"82","blog/how-to-ride-an-electric-skateboard","exact","http://eridehero.com/how-to-ride-an-electric-skateboard/","301","","active",""
"83","blog/how-to-ride-a-hoverboard","exact","http://eridehero.com/how-to-ride-a-hoverboard/","301","","active",""
"84","blog/new-york-legalizes-e-bikes-e-scooters","exact","http://eridehero.com/new-york-legalizes-e-bikes-e-scooters/","301","","active",""
"85","blog/solar-powered-electric-scooters","exact","http://eridehero.com/solar-powered-electric-scooters/","301","","active",""
"86","blog/electric-scooter-battery-guide","exact","http://eridehero.com/electric-scooter-battery-guide/","301","","active",""
"87","blog/electric-scooter-money-saving","exact","http://eridehero.com/electric-scooter-money-saving/","301","","active",""
"88","blog/where-electric-scooter-repair","exact","http://eridehero.com/where-electric-scooter-repair/","301","","active",""
"89","blog/xiaomi-m365-recall","exact","http://eridehero.com/xiaomi-m365-recall/","301","","active",""
"90","blog/electric-scooters-street-legal-uk-law","exact","http://eridehero.com/electric-scooters-street-legal-uk-law/","301","","active",""
"91","blog/how-coronavirus-is-affecting-e-scooter-market","exact","http://eridehero.com/how-coronavirus-is-affecting-e-scooter-market/","301","","active",""
"92","review/inokim-mini-2-electric-scooter-review","exact","http://eridehero.com/inokim-mini-2-electric-scooter-review/","301","","active",""
"93","review/inmotion-v10-electric-unicycle-review","exact","http://eridehero.com/inmotion-v10-electric-unicycle-review/","301","","active",""
"94","review/hover-1-horizon-hoverboard-review","exact","http://eridehero.com/hover-1-horizon-hoverboard-review/","301","","active",""
"95","review/skatebolt-tornado-ii-electric-skateboard-review","exact","http://eridehero.com/skatebolt-tornado-ii-electric-skateboard-review/","301","","active",""
"96","review/zero-11x-electric-scooter-review","exact","http://eridehero.com/zero-11x-electric-scooter-review/","301","","active",""
"97","review/zero-10-electric-scooter-review","exact","http://eridehero.com/zero-10-electric-scooter-review/","301","","active",""
"98","review/evolv-city-electric-scooter-review","exact","http://eridehero.com/evolv-city-electric-scooter-review/","301","","active",""
"99","review/zero-9-electric-scooter-review","exact","http://eridehero.com/zero-9-electric-scooter-review/","301","","active",""
"100","review/apollo-light-electric-scooter-review","exact","http://eridehero.com/apollo-light-electric-scooter-review/","301","","active",""
"101","review/possway-t2-electric-skateboard-review","exact","http://eridehero.com/possway-t2-electric-skateboard-review/","301","","active",""
"102","review/inokim-oxo-electric-scooter-review","exact","http://eridehero.com/inokim-oxo-electric-scooter-review/","301","","active",""
"103","review/apollo-ghost-electric-scooter-review","exact","http://eridehero.com/apollo-ghost-electric-scooter-review/","301","","active",""
"104","review/inokim-quick-3-electric-scooter-review","exact","http://eridehero.com/inokim-quick-3-electric-scooter-review/","301","","active",""
